施設ID,"2025-06-09
(Mon)","2025-06-10
(Tue)","2025-06-11
(Wed)","2025-06-12
(Thu)","2025-06-13
(Fri)","2025-06-14
(Sat)","2025-06-15
(Sun)"
F001,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)","11:00 (不足1, 要2)","08:00 (不足1, 要1)
12:00 (不足1, 要1)
20:00 (不足1, 要1)","14:00 (不足1, 要1)","16:00 (不足1, 要1)
20:00 (不足1, 要1)
22:00 (不足1, 要1)",OK,"09:00 (不足1, 要1)
10:00 (不足5, 要5)
11:00 (不足4, 要5)
12:00 (不足4, 要5)
13:00 (不足2, 要5)
14:00 (不足3, 要5)
15:00 (不足1, 要1)"
F002,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
12:00 (不足4, 要6)
13:00 (不足3, 要6)
22:00 (不足1, 要1)
23:00 (不足1, 要1)","00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足2, 要3)
11:00 (不足1, 要3)
12:00 (不足2, 要3)
14:00 (不足2, 要3)
15:00 (不足1, 要1)
17:00 (不足1, 要1)
18:00 (不足1, 要1)","11:00 (不足3, 要5)
12:00 (不足4, 要5)
13:00 (不足4, 要5)
16:00 (不足1, 要1)","01:00 (不足1, 要1)
10:00 (不足1, 要3)
11:00 (不足1, 要3)
12:00 (不足1, 要3)
13:00 (不足3, 要3)
14:00 (不足1, 要3)","10:00 (不足3, 要5)
12:00 (不足1, 要5)
14:00 (不足3, 要5)",OK,OK
F003,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
11:00 (不足1, 要1)","09:00 (不足1, 要1)
10:00 (不足1, 要2)
11:00 (不足2, 要2)
12:00 (不足2, 要2)
13:00 (不足2, 要2)
14:00 (不足2, 要2)
15:00 (不足1, 要1)
22:00 (不足1, 要1)","00:00 (不足1, 要1)
07:00 (不足1, 要1)
22:00 (不足1, 要1)","03:00 (不足1, 要1)
04:00 (不足1, 要1)
06:00 (不足1, 要1)
11:00 (不足1, 要2)
12:00 (不足1, 要2)
14:00 (不足2, 要2)
15:00 (不足1, 要1)
22:00 (不足1, 要1)","00:00 (不足1, 要1)
10:00 (不足2, 要5)
11:00 (不足4, 要5)
12:00 (不足1, 要5)
13:00 (不足3, 要5)
14:00 (不足2, 要5)
21:00 (不足1, 要1)","10:00 (不足3, 要4)
22:00 (不足1, 要1)","11:00 (不足1, 要1)
15:00 (不足1, 要1)
16:00 (不足1, 要1)
18:00 (不足1, 要1)"
F004,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
12:00 (不足2, 要3)
13:00 (不足2, 要3)
14:00 (不足3, 要3)
21:00 (不足1, 要1)","10:00 (不足4, 要5)
11:00 (不足4, 要5)
12:00 (不足5, 要5)
13:00 (不足4, 要5)
14:00 (不足3, 要5)
22:00 (不足1, 要1)","10:00 (不足2, 要4)
11:00 (不足1, 要4)
12:00 (不足1, 要4)
14:00 (不足2, 要4)","02:00 (不足1, 要1)","11:00 (不足1, 要2)
15:00 (不足1, 要1)
16:00 (不足1, 要1)","10:00 (不足2, 要6)
11:00 (不足4, 要6)
12:00 (不足5, 要6)
15:00 (不足1, 要1)
21:00 (不足1, 要1)
22:00 (不足1, 要1)","04:00 (不足1, 要1)
09:00 (不足1, 要1)
12:00 (不足1, 要4)
13:00 (不足1, 要4)
14:00 (不足1, 要4)
15:00 (不足1, 要1)"
F005,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足5, 要6)
11:00 (不足4, 要6)
12:00 (不足4, 要6)
13:00 (不足4, 要6)
14:00 (不足5, 要6)","10:00 (不足6, 要7)
11:00 (不足6, 要7)
12:00 (不足3, 要7)
13:00 (不足3, 要7)
14:00 (不足4, 要7)","00:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足7, 要7)
11:00 (不足7, 要7)
12:00 (不足7, 要7)
13:00 (不足6, 要7)
14:00 (不足7, 要7)
18:00 (不足1, 要1)
22:00 (不足1, 要1)","00:00 (不足1, 要1)
05:00 (不足1, 要1)
07:00 (不足1, 要1)","00:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足6, 要7)
11:00 (不足5, 要7)
12:00 (不足5, 要7)
13:00 (不足6, 要7)
14:00 (不足4, 要7)
17:00 (不足1, 要1)","12:00 (不足1, 要2)
14:00 (不足1, 要2)
16:00 (不足1, 要1)
17:00 (不足1, 要1)
18:00 (不足1, 要1)
20:00 (不足1, 要1)
22:00 (不足1, 要1)","10:00 (不足4, 要6)
11:00 (不足4, 要6)
12:00 (不足4, 要6)
13:00 (不足3, 要6)
14:00 (不足5, 要6)
17:00 (不足1, 要1)
18:00 (不足1, 要1)"
F006,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足4, 要6)
11:00 (不足5, 要6)
12:00 (不足4, 要6)
13:00 (不足4, 要6)
14:00 (不足3, 要6)
18:00 (不足1, 要1)
22:00 (不足1, 要1)","09:00 (不足1, 要1)
12:00 (不足3, 要4)
13:00 (不足2, 要4)","06:00 (不足1, 要1)
21:00 (不足1, 要1)","10:00 (不足2, 要3)
11:00 (不足2, 要3)
12:00 (不足2, 要3)
13:00 (不足2, 要3)
14:00 (不足2, 要3)","04:00 (不足1, 要1)
05:00 (不足1, 要1)
09:00 (不足1, 要1)
10:00 (不足2, 要4)
11:00 (不足3, 要4)
12:00 (不足2, 要4)
13:00 (不足1, 要4)
14:00 (不足2, 要4)
22:00 (不足1, 要1)","01:00 (不足1, 要1)
10:00 (不足3, 要4)
11:00 (不足3, 要4)
12:00 (不足3, 要4)
13:00 (不足4, 要4)
14:00 (不足2, 要4)
16:00 (不足1, 要1)","04:00 (不足1, 要1)
10:00 (不足3, 要6)
12:00 (不足2, 要6)
13:00 (不足4, 要6)
14:00 (不足3, 要6)
18:00 (不足1, 要1)"
F007,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足6, 要6)
11:00 (不足3, 要6)
12:00 (不足3, 要6)
13:00 (不足2, 要6)
14:00 (不足3, 要6)",OK,"10:00 (不足3, 要7)
11:00 (不足6, 要7)
12:00 (不足3, 要7)
13:00 (不足4, 要7)
14:00 (不足4, 要7)","22:00 (不足1, 要1)","07:00 (不足1, 要1)
10:00 (不足1, 要3)
16:00 (不足1, 要1)","03:00 (不足1, 要1)
07:00 (不足1, 要1)
17:00 (不足1, 要1)
19:00 (不足1, 要1)","09:00 (不足1, 要1)
22:00 (不足1, 要1)"
F008,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
11:00 (不足1, 要4)
12:00 (不足2, 要4)
13:00 (不足3, 要4)
14:00 (不足3, 要4)
17:00 (不足1, 要1)
20:00 (不足1, 要1)","11:00 (不足1, 要1)","09:00 (不足1, 要1)
10:00 (不足1, 要3)
13:00 (不足2, 要3)
14:00 (不足2, 要3)
23:00 (不足1, 要1)","01:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足3, 要4)
11:00 (不足3, 要4)
13:00 (不足4, 要4)
14:00 (不足1, 要4)","03:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
11:00 (不足1, 要4)
12:00 (不足3, 要4)
13:00 (不足2, 要4)
14:00 (不足2, 要4)","09:00 (不足1, 要1)
10:00 (不足3, 要4)
11:00 (不足3, 要4)
12:00 (不足4, 要4)
14:00 (不足3, 要4)
15:00 (不足1, 要1)
16:00 (不足1, 要1)","05:00 (不足1, 要1)
06:00 (不足1, 要1)
08:00 (不足1, 要1)
09:00 (不足1, 要1)
10:00 (不足3, 要5)
11:00 (不足2, 要5)
12:00 (不足3, 要5)
14:00 (不足2, 要5)
23:00 (不足1, 要1)"
F009,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
10:00 (不足2, 要10)
11:00 (不足8, 要10)
12:00 (不足5, 要10)
13:00 (不足5, 要10)
14:00 (不足2, 要10)
22:00 (不足1, 要1)","05:00 (不足1, 要1)
07:00 (不足1, 要1)
16:00 (不足1, 要1)
18:00 (不足1, 要1)","10:00 (不足1, 要3)
13:00 (不足1, 要3)
14:00 (不足3, 要3)
15:00 (不足1, 要1)","07:00 (不足1, 要1)
10:00 (不足2, 要5)
11:00 (不足1, 要5)
12:00 (不足1, 要5)
13:00 (不足2, 要5)
14:00 (不足3, 要5)","10:00 (不足2, 要5)
14:00 (不足1, 要5)","10:00 (不足3, 要3)
13:00 (不足2, 要3)
22:00 (不足1, 要1)","02:00 (不足1, 要1)
16:00 (不足1, 要1)"
F010,"00:00 (不足1, 要1)
01:00 (不足1, 要1)
02:00 (不足1, 要1)
03:00 (不足1, 要1)
04:00 (不足1, 要1)
05:00 (不足1, 要1)
06:00 (不足1, 要1)
07:00 (不足1, 要1)
08:00 (不足1, 要1)
18:00 (不足1, 要1)
21:00 (不足1, 要1)
22:00 (不足1, 要1)
23:00 (不足1, 要1)","00:00 (不足1, 要1)
11:00 (不足1, 要1)","01:00 (不足1, 要1)
06:00 (不足1, 要1)
10:00 (不足1, 要2)
12:00 (不足1, 要2)
13:00 (不足1, 要2)","13:00 (不足3, 要5)","11:00 (不足2, 要3)
17:00 (不足1, 要1)
18:00 (不足1, 要1)","02:00 (不足1, 要1)
10:00 (不足1, 要5)
11:00 (不足4, 要5)
12:00 (不足2, 要5)
13:00 (不足2, 要5)
14:00 (不足3, 要5)","11:00 (不足2, 要4)
14:00 (不足3, 要4)"
